tilt,key_resp.corr,Stair.thisTrialN,,,
-10,0,0,,,0
-10,0,6,,,1
-11,0,9,,,0
-8,0,35,,,1
8,0,41,,,1
6.5,0,55,,,0
7,0,57,,,0
7,0,61,,,1
-6.5,0,68,,,1
7,0,71,,,0
7.5,0,73,,,0.5
-8,0,74,,,
6.5,0,88,,,
6.5,0,92,,,
6.5,0,96,,,
12,1,1,,,
11,1,2,,,
-11,1,3,,,
-11,1,4,,,
-10,1,5,,,
11,1,7,,,
11,1,8,,,
-12,1,10,,,
-12,1,11,,,
-12,1,12,,,
-11.5,1,13,,,
11.5,1,14,,,
11.5,1,15,,,
11,1,16,,,
11,1,17,,,
-11,1,18,,,
-10.5,1,19,,,
10.5,1,20,,,
10.5,1,21,,,
10,1,22,,,
-10,1,23,,,
-10,1,24,,,
9.5,1,25,,,
9.5,1,26,,,
9.5,1,27,,,
-9,1,28,,,
-9,1,29,,,
9,1,30,,,
8.5,1,31,,,
-8.5,1,32,,,
8.5,1,33,,,
-8,1,34,,,
8.5,1,36,,,
8.5,1,37,,,
-8.5,1,38,,,
-8,1,39,,,
8,1,40,,,
-8.5,1,42,,,
8.5,1,43,,,
-8.5,1,44,,,
8,1,45,,,
-8,1,46,,,
8,1,47,,,
-7.5,1,48,,,
-7.5,1,49,,,
-7.5,1,50,,,
7,1,51,,,
-7,1,52,,,
-7,1,53,,,
6.5,1,54,,,
7,1,56,,,
-7.5,1,58,,,
-7.5,1,59,,,
7.5,1,60,,,
7.5,1,62,,,
-7.5,1,63,,,
-7.5,1,64,,,
7,1,65,,,
7,1,66,,,
-7,1,67,,,
-7,1,69,,,
7,1,70,,,
7.5,1,72,,,
-8.5,1,75,,,
-8.5,1,76,,,
-8.5,1,77,,,
-8,1,78,,,
8,1,79,,,
8,1,80,,,
7.5,1,81,,,
7.5,1,82,,,
7.5,1,83,,,
7,1,84,,,
7,1,85,,,
7,1,86,,,
-6.5,1,87,,,
7,1,89,,,
-7,1,90,,,
-7,1,91,,,
7,1,93,,,
-7,1,94,,,
7,1,95,,,
-7,1,97,,,
-7,1,98,,,
-7,1,99,,,
